Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
37,1,3,16,2,1,2,4,1,3,1,3,1,4,0,0,2,21694,0
39,1,1,36,3,2,4,4,1,5,0,2,1,3,0,2,2,25351,1
38,1,1,35,3,2,3,3,1,5,0,1,1,3,0,1,2,21673,1
29,1,1,9,2,2,4,4,0,3,3,4,0,4,1,2,1,22163,1
29,1,1,14,2,2,3,5,0,5,1,2,1,3,0,1,1,17119,1
43,0,1,28,3,1,3,4,1,3,1,4,0,2,0,1,2,23943,0
29,0,1,7,2,1,3,6,1,3,0,2,0,3,1,1,2,25352,0
54,1,1,28,3,1,3,3,4,3,1,4,0,1,1,1,0,32426,0
34,0,1,7,2,1,4,4,3,3,2,3,1,2,1,1,3,32136,0
25,1,3,25,3,2,2,4,0,4,0,2,1,2,0,0,1,17413,1
53,1,1,9,3,2,2,3,4,3,1,4,1,5,1,0,0,32584,0
34,0,3,32,3,1,3,4,1,3,1,3,0,3,0,2,2,23217,0
33,0,1,7,2,2,4,4,0,3,1,2,0,5,1,1,1,20992,0
35,0,1,9,2,2,4,4,1,3,3,4,0,4,1,2,2,22711,0
26,0,1,6,3,1,3,4,0,3,1,2,0,2,1,0,1,17007,0
53,1,1,10,3,2,3,5,3,3,0,4,1,2,0,1,3,26647,0
35,1,2,10,2,2,3,4,0,3,1,2,0,1,1,1,1,22415,0
33,1,1,11,2,2,2,4,3,3,1,5,0,3,1,1,3,22119,0
33,1,3,13,3,2,3,4,1,3,3,3,0,5,1,1,2,23688,0
58,1,1,29,2,2,2,3,0,3,1,2,0,3,1,1,1,17372,0
48,0,1,6,3,2,2,1,4,3,2,3,0,2,0,0,0,31885,0
27,1,1,13,2,1,4,4,0,3,0,3,1,2,0,1,1,21337,0
37,0,3,15,2,2,4,5,3,5,3,3,0,2,0,3,3,26265,0
38,1,1,28,2,2,4,3,0,5,0,3,1,3,0,3,1,22242,0
31,1,1,8,3,1,2,5,0,3,1,2,1,5,1,0,1,16129,0
27,0,1,10,1,2,4,4,0,5,3,2,0,3,0,2,1,21780,1
32,1,1,6,3,2,2,3,1,3,0,2,1,4,1,0,2,21162,0
34,1,1,22,3,2,3,4,3,3,0,2,1,5,0,1,3,32288,1
34,1,1,9,2,1,3,3,1,4,1,2,0,5,1,2,2,20433,0
33,1,1,16,2,1,4,4,1,3,1,3,1,5,1,3,2,25000,0
51,1,2,11,2,2,2,3,4,4,1,2,1,3,1,1,0,29026,0
31,1,1,13,3,1,2,3,3,3,3,2,1,4,1,1,3,22143,0
46,1,1,9,2,1,4,5,0,3,2,3,0,3,1,2,1,20952,0
60,1,3,22,3,2,2,3,1,5,2,1,0,4,1,1,2,20405,0
32,1,1,19,3,1,4,4,0,3,1,2,1,4,1,2,1,22607,0
30,1,3,16,3,2,3,4,1,3,1,2,0,1,0,1,2,21578,0
27,0,3,6,3,2,3,3,1,4,1,1,1,1,0,1,2,21349,0
31,0,1,11,1,2,3,4,0,3,2,2,1,4,1,1,1,20963,1
29,0,1,8,2,1,3,3,0,4,0,1,0,5,0,2,1,18180,0
38,1,3,17,2,1,3,5,1,3,1,4,1,4,0,1,2,25372,0
50,1,1,15,2,1,3,4,3,4,0,6,0,4,0,1,3,26081,0
45,1,2,7,3,2,4,5,3,5,0,2,0,4,1,1,3,29160,1
42,1,3,6,2,2,1,3,1,3,1,2,0,3,1,0,2,19907,0
42,1,3,30,2,2,4,4,3,3,3,5,1,3,0,3,3,25760,0
47,0,3,10,3,2,3,3,1,3,2,4,0,4,0,2,2,17976,0
56,1,3,17,3,1,2,4,1,5,1,5,0,5,0,1,2,20380,0
26,1,3,10,2,2,4,4,1,5,1,3,1,4,0,3,2,22872,0
47,1,1,15,2,1,4,5,1,5,1,2,1,2,1,3,2,23293,0
42,0,3,17,2,2,3,4,1,3,3,2,0,1,0,2,2,24908,0
43,0,1,26,3,2,3,2,0,3,1,8,1,3,0,1,1,21437,1
24,1,1,23,2,1,3,3,0,4,1,2,0,1,1,2,1,17210,1
35,0,1,23,1,2,3,6,0,5,1,3,1,3,1,1,1,20985,1
31,1,3,11,3,1,4,5,1,4,1,3,1,3,1,2,2,23887,0
33,0,1,6,2,1,2,1,1,4,1,2,1,3,1,0,2,20488,0
33,1,3,7,3,2,4,5,0,4,1,2,0,1,0,3,1,20947,0
49,1,3,9,3,1,3,4,1,3,0,4,0,5,1,1,2,22729,0
32,1,3,13,3,2,4,3,1,3,1,6,0,5,1,3,2,24138,0
50,0,1,25,2,2,4,4,1,3,1,3,1,1,0,1,2,25482,0
45,1,1,14,3,1,3,5,3,3,1,5,0,4,0,1,3,28926,0
37,0,3,27,3,1,2,3,0,3,1,6,0,1,1,0,1,17973,0
50,1,1,14,2,2,3,4,3,4,1,5,0,4,0,2,3,29144,0
37,1,3,16,2,2,3,5,0,5,3,2,0,1,0,1,1,22085,1
33,1,1,16,3,1,3,4,0,5,3,2,0,4,1,2,1,22878,1
28,0,1,7,1,2,3,5,1,5,1,7,0,3,1,1,2,22976,0
27,0,1,12,3,1,3,5,0,3,0,3,1,2,0,2,1,21044,1
48,0,3,11,3,2,3,4,1,3,3,5,0,4,0,2,2,21654,0
35,1,1,6,3,2,3,4,0,5,2,2,0,1,0,2,1,17450,0
43,1,1,21,2,2,3,4,4,3,1,2,0,3,1,1,0,32603,0
32,0,1,30,2,2,3,3,1,3,1,2,0,4,1,2,2,20309,0
46,1,1,8,3,2,2,3,2,3,1,1,1,1,1,1,4,34328,0
45,1,1,7,2,2,4,2,1,5,1,4,0,3,1,3,2,23711,0
43,1,1,7,2,1,4,4,0,5,1,5,0,3,1,2,1,21254,0
41,1,3,9,2,2,2,4,1,4,1,3,0,3,0,1,2,23938,0
30,0,1,21,2,0,3,4,3,3,3,2,1,5,1,1,3,26231,1
37,0,3,15,2,2,4,5,3,5,3,3,0,1,0,1,3,26265,0
32,0,1,13,2,2,3,2,0,4,0,2,0,2,0,1,1,17794,0
26,1,1,10,3,2,4,4,0,5,0,7,0,5,1,2,1,22709,1
31,1,1,6,3,2,2,3,0,4,2,2,0,3,0,0,1,17501,0
36,1,1,12,2,1,2,1,0,3,1,4,0,1,0,0,1,18038,0
27,1,3,8,3,1,3,5,2,4,2,3,1,5,1,1,4,17517,1
30,0,3,28,2,1,3,3,3,5,1,1,0,1,1,1,3,23412,0
34,1,1,16,3,2,3,4,0,3,1,2,0,1,0,2,1,21459,0
28,1,1,10,3,2,3,5,0,3,2,2,0,2,0,1,1,20723,0
35,1,1,6,3,1,2,4,1,3,0,1,0,1,1,1,2,20363,0
34,1,3,9,3,2,4,4,1,3,1,3,0,3,1,2,2,24183,0
37,1,1,34,3,2,4,4,1,3,1,8,0,3,0,1,2,23915,0
35,1,3,24,3,2,3,3,1,5,1,1,0,3,0,0,2,17144,0
36,0,1,9,3,2,1,3,0,4,2,5,0,4,1,0,1,17088,0
52,1,3,17,2,1,4,4,3,4,1,7,0,1,1,3,3,31820,1
43,1,1,19,3,2,3,4,0,4,1,2,0,1,1,2,1,21444,0
47,0,1,22,3,2,3,1,1,3,1,2,1,1,1,0,2,20067,0
30,1,3,27,3,2,3,4,1,3,1,4,0,2,1,2,2,25609,0
35,1,1,31,3,1,2,3,3,3,1,2,1,3,1,1,3,25388,0
32,1,3,27,2,1,4,6,1,3,0,5,1,3,1,1,2,23237,1
33,0,1,14,2,2,4,2,0,4,1,3,0,1,0,2,1,21472,0
33,1,3,31,3,2,2,4,3,4,3,3,1,5,1,0,3,23380,1
53,1,1,30,3,2,2,1,3,3,1,4,0,3,0,1,3,22005,0
31,0,1,9,3,2,2,3,0,5,1,2,1,1,0,0,1,18065,0
42,1,1,10,1,2,2,3,2,3,0,2,0,2,0,1,4,34232,0
28,0,1,9,3,2,3,4,0,3,2,4,0,3,0,2,1,21258,0
29,1,1,7,2,1,4,6,0,4,2,2,1,2,1,1,1,20894,1
35,1,3,22,3,0,4,4,1,5,3,3,0,1,1,3,2,24803,0
36,1,1,28,2,1,3,4,1,3,0,3,1,3,0,2,2,22692,0
36,1,3,11,1,2,3,4,3,5,3,2,1,4,1,2,3,28260,1
48,0,3,30,2,2,3,5,0,3,2,2,1,1,1,2,1,17559,1
43,1,3,15,3,1,2,5,1,3,2,1,0,1,0,0,2,20346,1
26,0,1,6,2,1,2,3,1,4,1,2,0,5,0,1,2,21397,0
30,1,1,14,2,1,3,1,3,5,1,1,1,1,0,2,3,26416,0
39,1,1,12,3,2,3,3,0,5,0,1,1,2,1,1,1,17404,1
34,1,1,33,3,1,3,3,0,4,2,3,0,3,0,0,1,17311,0
38,1,2,13,2,2,4,4,0,5,1,6,1,1,0,3,1,20751,1
33,0,1,10,2,0,3,4,0,3,3,3,0,4,1,1,1,24887,1
32,0,1,19,2,1,3,4,0,4,0,2,0,5,0,0,1,17743,0
44,1,1,10,3,2,2,3,1,4,2,1,0,1,1,1,2,20933,0
41,1,1,12,3,2,3,4,1,4,2,7,1,3,1,2,2,21032,0
39,0,3,9,2,2,3,5,1,3,0,5,0,5,1,2,2,23927,0
30,1,1,16,2,2,4,2,0,3,1,8,0,5,1,1,1,21129,0
53,0,1,26,3,2,3,4,0,3,1,2,0,3,1,1,1,22936,0
46,1,3,11,2,1,2,4,1,5,1,6,1,4,0,1,2,23684,0
46,1,3,9,1,1,2,1,4,5,1,3,0,3,1,0,0,28225,0
40,1,1,8,3,2,2,3,2,3,1,1,0,5,0,0,4,34436,0
32,1,3,14,2,2,3,5,0,3,1,5,0,4,1,2,1,21007,0
40,0,3,30,2,0,3,1,4,4,3,5,1,3,1,2,0,28194,1
36,1,3,8,3,2,3,4,3,3,0,2,0,2,1,0,3,22596,0
34,1,3,6,3,2,3,1,1,3,1,1,0,5,1,2,2,24725,0
38,1,1,29,2,2,2,3,1,3,1,1,0,3,0,0,2,20745,0
37,1,1,9,2,2,2,3,3,3,1,2,0,1,1,0,3,24434,0
38,0,1,8,3,1,2,4,0,4,2,2,0,1,1,0,1,17440,0
26,1,3,12,3,2,3,5,1,3,3,3,1,3,0,2,2,24422,1
42,1,1,30,3,2,2,3,3,5,1,2,1,1,1,0,3,22406,0
25,1,3,34,2,2,2,4,1,3,0,3,0,4,0,0,2,23639,0
33,1,3,15,1,1,4,5,1,4,1,3,1,1,1,3,2,23906,0
35,1,3,13,2,1,2,3,1,3,1,2,1,4,1,1,2,20204,0
41,0,1,15,3,2,3,5,3,4,1,4,0,1,1,2,3,32435,0
55,1,1,26,1,2,2,3,1,3,0,4,1,2,1,1,2,20415,0
28,1,1,12,2,1,3,4,0,4,2,3,1,3,0,2,1,21156,0
34,0,3,17,3,2,3,5,1,3,3,5,0,3,1,1,2,23360,0
33,1,1,13,3,2,2,3,3,3,0,1,0,4,0,0,3,26691,0
38,0,1,16,3,2,3,4,0,3,0,3,1,2,0,1,1,21004,0
39,1,1,17,3,1,4,4,1,3,0,5,0,3,1,3,2,28502,0
58,1,1,11,1,1,2,4,3,4,1,3,1,5,1,1,3,25552,0
40,1,3,28,3,2,3,4,1,3,1,3,1,3,1,0,2,21380,1
31,1,3,9,1,2,4,4,0,4,1,3,0,3,1,1,1,21154,0
37,1,1,11,3,2,3,3,1,3,1,1,0,3,1,2,2,21347,0
36,1,1,32,3,1,3,4,3,3,1,3,1,3,1,2,3,29066,0
20,1,1,10,3,1,4,4,0,4,2,3,0,3,1,1,1,20161,0
31,1,3,8,2,2,3,3,1,3,3,5,1,5,1,1,2,21582,0
30,1,3,11,2,1,2,3,3,3,0,3,0,4,1,1,3,24419,0
35,1,2,32,2,0,2,3,3,3,3,2,1,1,1,0,3,23837,0
28,0,3,27,2,0,3,4,1,3,2,3,0,2,1,2,2,28659,0
49,0,1,14,2,2,3,4,1,4,1,2,0,1,0,0,2,20130,0
27,1,1,28,3,2,3,4,0,3,1,3,0,5,1,2,1,21055,1
21,1,1,7,2,1,3,5,0,4,3,3,0,4,0,2,1,21514,0
48,0,1,28,3,1,2,3,4,3,1,4,0,5,0,0,0,32174,0
55,1,3,10,3,1,3,4,1,5,1,4,0,4,1,1,2,24618,0
44,1,1,13,3,1,2,4,3,3,0,4,0,4,1,0,3,25248,0
20,1,3,12,2,2,4,4,3,4,3,2,1,4,1,1,3,21672,1
34,1,1,8,2,2,3,4,0,3,1,4,0,5,1,2,1,17768,0
30,1,1,14,2,2,3,4,0,5,2,5,0,4,0,1,1,20740,0
42,0,2,8,3,2,3,1,1,5,0,1,0,2,0,2,2,21272,0
34,1,1,15,3,0,2,4,3,4,3,2,0,2,1,1,3,23621,0
27,1,1,31,1,2,4,6,0,3,2,3,1,3,1,3,1,21018,1
34,1,1,6,2,1,3,1,0,3,2,3,0,2,0,0,1,18280,0
34,0,1,28,2,2,2,4,1,3,1,2,1,1,1,0,2,20747,0
22,1,1,21,3,1,2,3,0,3,2,2,0,2,1,1,1,17871,0
47,0,3,10,3,2,2,3,1,3,2,4,0,4,0,1,2,17976,0
40,1,1,10,3,2,4,5,1,3,1,2,0,4,0,3,2,21747,0
30,0,1,17,2,1,4,4,0,4,1,2,0,5,1,1,1,21969,0
31,1,3,8,2,2,3,3,1,3,3,5,1,5,1,1,2,21582,0
27,0,1,9,2,2,3,4,0,5,1,8,1,5,0,1,1,20720,1
28,1,1,22,3,2,3,1,1,5,2,1,0,5,0,1,2,20661,0
35,1,3,34,2,1,3,4,0,3,1,1,0,4,1,2,1,17430,0
41,1,1,8,2,1,2,5,0,3,1,5,1,3,0,0,1,17778,1
31,1,2,16,2,2,3,4,1,3,1,2,1,3,1,2,2,25025,0
30,1,3,10,3,1,4,4,1,3,0,3,0,2,0,1,2,24239,0
39,1,3,10,2,2,4,4,3,3,1,2,0,2,1,2,3,29287,0
37,0,1,30,3,2,3,2,1,3,1,6,0,3,0,1,2,21249,0
43,1,3,21,3,0,4,5,1,3,3,2,0,3,1,1,2,24922,0
39,0,2,17,2,2,4,4,1,3,1,5,0,3,0,3,2,24755,0
40,0,3,11,2,2,2,4,3,5,1,6,1,5,0,0,3,25475,0
33,1,1,9,3,2,3,4,1,4,1,6,0,4,1,2,2,23561,1
41,1,3,11,3,2,4,5,3,3,1,2,0,1,1,2,3,29533,0
43,1,3,31,3,2,3,4,3,3,1,6,0,4,1,1,3,25798,0
38,1,1,12,3,2,4,4,1,3,1,2,0,3,0,1,2,25025,0
32,1,1,18,3,2,4,4,1,5,1,3,1,1,1,2,2,25511,0
24,1,1,11,3,2,3,3,0,5,0,4,0,4,0,2,1,21497,0
32,1,1,8,2,2,3,3,0,4,2,2,0,3,1,1,1,16393,1
55,1,1,24,1,1,3,4,3,3,0,2,0,5,1,1,3,29417,0
29,1,1,9,2,2,4,5,0,4,1,2,0,1,0,3,1,21879,0
33,1,1,21,3,2,2,3,3,3,1,1,1,5,1,0,3,28610,1
26,0,1,12,2,2,3,2,1,5,1,3,0,5,1,2,2,22678,0
38,0,3,16,3,2,4,4,3,4,1,3,0,2,1,1,3,27512,0
35,1,3,6,3,2,3,3,3,4,0,2,0,4,1,2,3,22295,0
46,1,3,6,2,2,2,1,4,5,2,2,0,4,1,1,0,32567,0
36,1,1,23,2,2,4,4,3,3,1,6,1,1,0,1,3,26310,0
44,0,1,23,2,2,3,5,0,3,2,3,0,4,1,0,1,17290,0
38,1,1,17,3,1,4,4,0,5,0,8,0,2,1,2,1,22130,0
26,1,1,7,2,1,4,4,1,3,1,2,0,3,1,2,2,23576,0
20,1,1,16,3,2,2,3,0,3,2,2,1,5,0,0,1,16009,1
25,1,1,6,1,2,2,3,0,3,0,5,0,5,1,1,1,18229,0
41,1,3,33,3,2,4,4,1,5,1,3,0,1,1,3,2,27074,0
31,1,3,12,3,2,3,1,1,3,1,5,0,5,1,1,2,20460,0
24,1,1,15,3,2,4,5,0,3,3,3,1,4,1,3,1,22667,1
43,0,1,30,2,2,3,5,1,3,3,3,0,3,1,2,2,23010,0
36,1,1,30,2,2,3,5,1,3,0,5,1,4,1,2,2,24594,1
30,1,3,17,3,1,3,5,1,4,1,3,1,5,0,2,2,26946,0
29,1,1,14,2,2,3,5,0,5,0,2,1,3,1,1,1,17119,1
39,0,1,30,2,2,3,5,3,3,3,2,0,3,0,1,3,28204,0
50,0,1,8,2,2,3,3,4,5,1,2,0,5,1,2,0,32924,0
39,1,2,8,2,1,2,4,1,3,0,1,0,3,0,0,2,20204,0
30,1,1,30,2,2,3,2,0,3,1,3,0,1,1,2,1,21378,0
41,0,3,9,3,2,4,4,1,4,1,7,0,4,1,2,2,23005,0
54,1,1,20,3,1,3,3,1,5,1,3,0,2,1,2,2,23128,0
35,0,1,7,3,2,4,5,1,5,3,2,0,2,1,3,2,24021,0
31,1,1,15,2,2,2,3,3,4,1,2,0,3,1,1,3,25648,0
30,1,1,15,2,2,4,6,0,5,0,3,1,3,1,2,1,20797,1
57,1,1,14,2,2,3,6,3,3,3,6,0,2,0,1,3,25938,0
51,0,3,7,2,2,4,4,1,3,1,2,0,3,1,2,2,25406,1
35,0,1,23,2,1,4,5,0,3,2,3,0,5,1,2,1,21231,0
31,0,3,26,2,2,3,1,0,3,0,1,0,5,1,1,1,17791,0
29,1,3,9,3,1,3,3,1,3,1,2,0,1,0,0,2,20561,0
22,1,3,29,1,2,3,4,0,3,3,3,0,1,0,1,1,22125,0
40,1,2,9,2,1,3,5,1,3,1,2,0,3,1,1,2,23882,0
55,0,1,8,3,2,2,4,4,5,2,1,0,3,1,1,0,31756,0
41,1,1,15,2,2,3,3,0,5,0,3,0,2,0,2,1,17238,0
29,1,1,21,2,1,3,5,0,3,1,1,1,5,1,1,1,17168,0
35,0,3,9,3,1,4,4,0,3,0,8,0,5,1,3,1,20909,0
30,0,1,6,2,2,2,4,3,3,3,2,0,5,1,1,3,23474,0
59,0,1,9,2,2,3,5,0,3,1,2,1,1,1,1,1,21058,1
33,0,1,11,2,1,3,3,3,4,1,7,0,3,1,1,3,26878,0
30,1,1,22,2,2,2,3,0,3,1,2,0,1,0,0,1,17862,0
33,1,1,27,3,2,3,1,0,4,1,2,0,1,1,1,1,17028,0
37,1,1,16,2,1,2,3,0,5,1,1,1,3,1,1,1,17782,0
39,1,1,9,3,2,3,4,1,4,1,6,0,4,0,1,2,23533,1
45,1,1,16,2,2,3,3,0,3,0,4,0,5,1,0,1,17654,0
37,1,3,16,2,1,2,4,1,3,1,3,1,4,1,1,2,21694,0
35,1,1,7,2,2,3,5,0,3,0,3,1,2,0,1,1,22300,0
29,0,3,20,1,1,3,4,1,4,3,7,0,3,1,1,2,22545,1
38,0,3,8,2,2,2,4,1,3,1,4,0,5,1,1,2,20249,0
42,1,1,12,2,2,3,2,1,4,3,5,0,5,1,1,2,25548,0
40,0,3,34,2,2,2,5,3,5,1,4,0,5,1,0,3,25932,0
29,1,3,16,2,2,4,4,1,3,3,3,0,3,1,2,2,23931,0
38,1,1,14,3,2,4,4,1,5,1,7,1,3,0,1,2,22962,0
28,1,1,21,2,2,2,3,0,3,1,2,0,4,0,0,1,17207,0
26,1,3,11,2,1,3,5,1,3,3,3,1,2,0,2,2,23165,0
39,0,1,19,2,2,3,5,1,5,1,4,0,5,1,1,2,24966,0
23,0,3,7,2,1,2,3,0,4,2,2,1,5,1,1,1,16223,1
31,0,3,8,2,1,2,4,0,3,2,1,0,5,0,1,1,17785,1
30,1,3,11,2,1,2,3,3,3,1,3,0,4,1,1,3,24419,0
34,0,1,36,3,1,3,5,1,3,3,3,0,5,1,1,2,23186,1
49,1,3,9,3,2,3,2,1,4,1,5,0,3,0,2,2,26798,0
33,1,1,12,2,2,4,2,0,4,1,2,1,1,1,3,1,21976,0
53,1,3,13,3,1,3,4,3,3,0,1,1,2,0,0,3,25934,0
31,0,1,13,2,1,2,4,3,3,1,2,0,1,1,0,3,23943,0
50,0,1,6,2,1,3,3,2,4,1,4,1,1,0,2,4,33172,0
30,1,1,7,1,2,3,4,0,3,2,2,0,2,0,1,1,20736,1
47,0,3,9,3,1,2,3,4,3,1,1,1,5,1,1,0,28770,0
26,1,1,12,2,1,2,4,0,4,1,2,0,3,1,1,1,17368,0
31,1,3,13,2,2,2,4,3,3,1,1,0,3,1,0,3,26557,0
43,1,1,18,2,2,2,4,4,4,1,2,0,3,1,1,0,29336,0
38,1,1,21,2,2,3,4,3,3,1,1,1,5,1,1,3,26510,0
35,1,3,9,3,1,3,4,1,5,3,2,1,3,1,1,2,23216,0
32,1,3,14,2,2,3,5,3,3,1,2,0,3,1,1,3,30235,0
34,1,3,7,3,2,3,2,1,5,1,3,0,4,0,2,2,22715,0
29,1,3,9,3,1,3,3,1,3,0,2,0,2,0,0,2,20561,0
37,0,1,16,2,2,4,2,0,4,1,3,0,5,1,1,1,21488,0
43,1,1,36,3,2,3,6,1,3,3,6,0,3,1,2,2,22950,0
38,0,3,26,3,2,3,4,3,4,3,3,1,5,0,1,3,26320,0
37,1,3,10,2,2,3,5,3,3,0,3,1,2,1,1,3,29003,1
46,1,3,9,2,1,2,3,4,4,0,1,0,4,1,0,0,31606,0
33,0,3,12,2,2,3,4,1,4,1,3,0,3,1,2,2,25202,0
28,0,3,6,3,2,3,4,1,3,0,2,0,3,0,2,2,23020,0
25,1,1,13,3,2,3,4,0,3,0,2,0,2,1,2,1,17889,0
32,0,1,6,2,2,3,3,0,3,1,1,0,5,1,0,1,17314,0
36,1,1,23,2,2,4,4,3,3,0,6,1,2,0,2,3,26310,0
54,1,3,31,2,2,4,4,3,5,2,8,1,3,1,3,3,29126,1
32,1,1,18,2,2,3,4,0,3,0,5,1,3,1,2,1,21034,0
52,1,3,31,3,1,3,5,1,4,3,2,1,5,1,2,2,21516,1
23,1,1,15,3,2,2,3,0,5,1,2,0,3,1,0,1,17500,0
33,1,1,34,2,2,3,3,1,3,1,2,1,1,1,0,2,20207,0
55,0,1,24,3,2,3,3,1,4,1,4,1,5,1,1,2,21385,0
44,0,1,29,3,2,3,3,1,4,0,5,0,3,1,0,2,17042,0
60,1,1,6,3,2,3,5,3,3,1,4,0,5,0,0,3,25883,0
33,1,1,11,2,1,3,4,0,3,0,2,0,2,0,2,1,17911,0
26,1,3,11,3,2,3,5,1,5,1,3,0,3,1,2,2,22934,0
22,1,1,14,2,2,3,5,0,5,1,2,0,1,0,1,1,17451,0
36,1,3,22,3,1,3,4,1,5,0,5,0,5,1,0,2,20647,0
30,1,3,7,3,1,3,5,0,3,1,8,1,2,0,2,1,21478,1
35,1,1,14,3,2,3,4,0,3,3,3,0,1,0,2,1,21650,0
44,0,1,14,3,2,3,3,0,3,1,6,0,4,0,2,1,20767,0
30,1,1,8,2,2,3,3,0,4,3,2,0,3,0,0,1,26916,1
37,1,1,6,2,1,2,3,0,3,2,2,0,2,1,1,1,17115,0
40,1,1,12,2,0,3,3,4,3,3,1,0,5,1,0,0,28237,0
46,1,1,8,2,2,2,3,3,3,1,4,0,1,1,1,3,23578,0
32,0,1,9,2,2,4,4,0,3,0,8,1,3,1,2,1,22400,1
35,0,2,30,2,1,3,4,3,5,1,2,1,3,1,1,3,28628,1
53,1,1,13,1,2,4,4,1,5,1,5,1,4,1,3,2,24255,0
59,0,1,7,2,2,3,6,1,3,1,4,1,1,1,2,2,24338,0
31,0,1,12,2,2,4,5,0,3,1,2,0,5,0,1,1,22439,0
33,0,3,14,2,1,2,4,0,3,2,1,0,1,0,1,1,17342,0
45,1,2,7,3,2,4,5,3,5,1,2,0,4,1,1,3,29160,1
39,1,3,30,3,1,2,4,4,3,1,1,0,1,1,1,0,27031,0
28,1,3,9,3,2,3,4,0,5,1,2,0,5,1,2,1,21719,1
43,1,3,22,3,1,3,3,4,3,0,6,1,3,0,1,0,31064,0
22,1,1,8,1,2,3,3,0,3,0,1,0,5,1,2,1,17523,0
42,1,3,13,2,1,4,4,3,3,2,5,1,1,0,1,3,32269,0
35,1,3,31,3,1,3,5,1,4,3,2,1,5,1,1,2,23277,1
42,1,3,11,3,2,2,3,2,3,1,7,0,4,0,1,4,33303,0
36,1,3,15,2,1,4,4,0,3,0,3,0,3,0,1,1,21250,0
46,1,1,6,3,2,2,3,2,3,1,1,0,5,1,0,4,34627,0
44,0,1,17,2,1,3,4,0,3,2,2,0,5,0,1,1,21133,0
37,1,1,19,3,0,3,5,3,3,3,2,0,1,1,1,3,27536,0
33,1,3,11,2,1,3,4,0,4,1,4,0,3,1,2,1,22609,0
34,1,3,16,2,1,2,3,0,3,1,2,1,1,0,1,1,17220,0
46,1,1,7,1,2,4,4,3,4,1,3,0,3,1,2,3,26119,0
29,0,1,23,3,2,3,4,0,3,2,3,0,3,0,1,1,20822,0
38,0,3,28,3,1,3,4,0,3,0,7,0,2,1,2,1,21651,0
31,1,1,15,2,1,4,2,3,5,0,2,1,2,0,3,3,30094,0
37,1,1,7,1,1,4,6,3,5,1,4,1,2,1,3,3,28930,0
59,0,1,9,2,2,3,5,0,3,1,2,1,2,0,1,1,21058,1
46,1,1,16,2,2,3,4,1,4,1,2,0,4,1,1,2,21026,0
43,0,1,33,3,1,3,4,3,5,1,5,1,3,0,1,3,31869,0
30,1,1,30,2,2,3,4,0,3,2,2,0,3,1,1,1,20879,0
20,0,3,15,3,1,2,3,0,3,2,2,1,4,1,0,1,17323,1
32,1,1,30,3,2,4,5,1,3,1,2,0,3,0,2,2,24260,0
22,1,1,14,3,1,3,3,0,5,1,2,1,3,0,1,1,17398,1
35,1,3,14,2,1,3,3,0,3,0,2,0,3,0,0,1,17572,0
37,1,1,16,2,1,2,3,0,5,1,1,1,3,1,0,1,17782,0
41,1,2,6,2,2,2,4,2,3,1,2,0,1,1,1,4,34189,0
24,1,3,9,1,2,4,4,0,5,1,5,0,3,1,3,1,21000,0
35,1,1,16,3,0,3,5,3,4,3,3,0,2,1,2,3,27299,0
25,1,1,13,3,2,3,4,0,3,1,2,0,1,0,2,1,17889,0
28,1,1,9,3,2,3,4,0,4,1,2,0,5,1,2,1,22146,0
28,0,1,12,2,2,2,4,0,3,1,2,1,4,1,1,1,17703,0
32,1,1,8,1,2,2,4,1,5,2,5,0,4,0,1,2,17176,0
32,1,3,8,3,2,2,4,1,4,3,1,1,1,1,0,2,24907,1
36,1,1,9,2,2,3,5,3,4,1,4,0,4,1,1,3,28952,0
21,1,1,11,3,2,3,3,0,3,2,2,0,1,1,1,1,18117,0
33,1,3,11,3,1,2,3,0,3,2,2,1,1,0,1,1,17851,1
30,0,1,27,3,2,3,4,0,3,1,3,0,3,1,2,1,22490,0
45,0,3,15,2,1,3,4,1,3,1,2,0,3,1,2,2,20593,0
35,1,1,9,3,1,3,5,0,5,3,3,0,2,1,2,1,23059,0
39,1,1,19,3,1,3,4,4,4,1,7,1,3,1,2,0,32123,0
35,0,2,30,2,1,3,4,3,5,1,2,1,3,1,1,3,28628,1
33,1,3,7,3,1,3,4,3,3,1,3,0,5,1,1,3,29100,0
32,0,3,7,2,1,3,4,0,4,2,3,1,5,1,2,1,20980,1
35,0,1,6,3,2,3,3,0,5,1,5,0,1,0,1,1,17194,0
24,0,1,10,2,2,2,4,0,3,0,1,0,3,0,0,1,18162,0
36,1,1,22,2,1,2,1,0,5,2,2,0,2,1,0,1,17743,1
27,1,2,27,3,1,4,4,0,4,1,2,1,3,0,2,1,20826,1
31,1,3,22,3,2,3,3,3,3,1,3,0,5,1,0,3,23161,1
36,1,3,7,3,0,4,4,1,3,3,3,0,4,0,3,2,23537,0
36,1,3,7,3,2,3,4,1,3,1,2,0,3,0,2,2,23395,0
53,1,1,29,2,1,3,3,4,3,2,7,0,5,1,1,0,29275,0
34,0,3,14,2,1,2,4,1,4,1,2,0,4,0,1,2,22980,0
